LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA36510,173,1215,935,11769,308,14400,0,6,3,95,8,112,81,13,20,52,4,170,31,8,0,3,0,42,401,96,63,161,10,731,3363,1242,898,9468,352,15323,78,5,23,4,0,110,73,17,11,58,4,163,454,148,139,2997,49,3787,30,15,11,48,3,107,56,9,0,12,0,77,51,4,0,14,5,74,533,263,184,3426,64,4470,117,59,29,303,7,515,62,0,6,3,0,71,0,0,6,13,0,19,0,0,0,11,0,11,31,16,6,25,0,78,124,18,31,6,0,179,236,85,47,22,8,398,93,20,9,70,3,195,35,12,6,17,10,80,27,7,4,0,5,43,768,295,228,2502,75,3868,19,3,0,0,0,22,101,7,8,0,0,116,51,9,8,34,0,102,15,5,4,6,3,33,5,7,0,0,0,12,91,33,16,97,0,237,784,195,149,338,42,1508,93,41,47,679,1431,2291,6420,2332,1790,23730,2190,36462,237,1379
LGA36580,102,633,519,7621,245,9120,0,0,0,46,0,46,91,5,0,20,0,116,12,9,0,3,0,24,186,59,35,117,0,397,1487,672,516,5989,216,8880,178,0,19,0,13,210,45,7,0,37,5,94,208,97,82,2143,44,2574,8,12,3,33,0,56,16,4,0,3,0,23,16,0,3,3,0,22,213,127,95,1744,45,2224,50,33,8,136,4,231,8,0,0,0,0,8,6,7,4,5,0,22,0,0,0,0,0,0,31,3,7,28,0,69,69,16,15,9,0,109,118,47,44,15,3,227,35,9,6,45,3,98,9,0,0,14,0,23,9,0,0,0,0,9,338,168,102,1509,44,2161,0,6,0,4,0,10,31,4,3,0,0,38,27,0,4,18,0,49,0,0,0,0,0,0,55,0,0,0,0,55,53,12,5,75,0,145,320,72,58,229,11,690,62,37,16,434,853,1402,3094,1257,936,14997,1353,21637,107,762
LGA36630,98,813,624,11846,332,13713,0,0,0,139,6,145,60,3,10,65,4,142,15,6,0,5,0,26,205,46,37,130,4,422,1682,849,582,9047,275,12435,178,0,23,3,0,204,45,7,6,73,3,134,280,127,96,3035,46,3584,13,6,0,30,0,49,29,11,3,5,0,48,40,10,4,10,0,64,244,162,104,2673,62,3245,84,42,8,202,5,341,5,0,0,3,0,8,4,6,6,9,0,25,0,0,0,0,0,0,19,10,0,25,0,54,65,13,7,16,0,101,123,68,47,26,4,268,38,17,0,58,0,113,20,0,7,27,0,54,6,4,3,0,0,13,387,218,114,2213,55,2987,8,0,0,0,0,8,56,0,5,3,0,64,27,3,5,27,0,62,19,0,0,0,0,19,39,0,3,0,0,42,46,12,8,51,6,123,315,101,71,380,26,893,81,41,35,719,1227,2103,3458,1602,1156,22921,1888,31025,128,837
LGA36660,87,878,685,12447,311,14408,0,0,0,124,4,128,94,6,17,79,8,204,58,4,0,15,0,77,230,67,30,102,9,438,1553,871,653,10303,325,13705,137,3,30,3,0,173,52,12,0,68,0,132,259,95,85,2071,43,2553,21,11,4,38,5,79,43,10,0,3,0,56,50,0,9,12,0,71,276,167,112,3895,84,4534,666,154,37,614,32,1503,32,0,0,4,0,36,13,3,7,12,0,35,13,0,0,0,0,13,9,16,0,18,0,43,59,18,12,24,5,118,123,52,25,19,3,222,54,12,6,42,0,114,19,8,4,24,0,55,10,0,0,0,3,13,370,225,177,2676,41,3489,11,0,0,0,0,11,45,8,3,0,3,59,39,10,0,24,0,73,14,0,0,0,0,14,0,0,0,0,0,0,47,20,3,71,0,141,517,123,91,376,34,1141,85,25,22,691,1242,2065,4179,1743,1236,24762,1962,33882,122,934
LGA36720,1388,9817,7608,76636,2088,97537,0,20,17,378,9,424,870,133,132,551,51,1737,281,62,21,96,9,469,2720,703,449,1088,80,5040,29747,9597,6995,65629,2227,114195,762,40,207,29,21,1059,791,144,117,639,22,1713,3305,1129,687,11181,284,16586,353,167,72,428,8,1028,349,85,27,93,3,557,652,76,44,76,20,868,4896,1763,1269,22293,527,30748,1624,761,281,2637,86,5389,85,7,13,19,0,124,83,44,20,102,6,255,43,12,4,12,0,71,319,145,55,264,12,795,1223,234,148,91,33,1729,2870,718,514,169,73,4344,649,128,83,375,25,1260,288,56,35,164,3,546,155,28,14,5,0,202,6609,2310,1655,18193,427,29194,107,19,8,23,0,157,1210,110,79,48,24,1471,342,88,35,267,18,750,150,31,14,26,0,221,131,6,10,3,3,153,865,223,125,785,20,2018,7076,1614,1202,2730,264,12886,910,278,300,3484,10337,15309,57446,18680,13751,152867,15207,257951,1752,11659
LGA36820,111,739,593,8022,274,9739,0,7,0,160,14,181,49,8,15,152,7,231,23,4,0,15,0,42,221,54,42,78,10,405,1582,766,570,6099,211,9228,97,0,27,0,3,127,58,14,20,57,0,149,364,104,68,901,35,1472,20,9,0,39,0,68,20,3,0,5,0,28,33,7,3,15,0,58,267,158,112,2299,68,2904,425,165,52,743,29,1414,27,0,0,0,0,27,5,0,0,11,0,16,0,0,0,0,0,0,18,13,6,25,0,62,54,21,3,21,0,99,105,40,28,16,0,189,49,8,11,22,0,90,14,3,6,18,0,41,5,0,0,0,0,5,377,193,155,1686,48,2459,5,0,0,0,0,5,29,8,0,0,0,37,31,0,13,40,0,84,6,0,0,0,0,6,10,6,0,0,0,16,49,14,11,66,3,143,565,146,97,404,32,1244,78,28,28,550,1149,1833,3862,1549,1168,15414,1725,23718,129,773
LGA36910,429,3905,2862,55089,1283,63568,3,15,3,418,14,453,1017,37,55,325,27,1461,70,19,3,43,3,138,880,271,191,578,38,1958,6386,3746,2770,43536,1218,57656,711,17,139,22,13,902,138,30,29,310,8,515,943,643,450,15064,249,17349,76,65,22,165,7,335,98,27,6,33,3,167,684,30,16,34,20,784,1174,873,628,16232,310,19217,432,236,93,1181,29,1971,103,0,3,5,0,111,49,40,26,154,9,278,11,0,0,5,0,16,52,30,15,56,0,153,346,92,74,56,11,579,498,204,157,85,27,971,208,59,39,281,9,596,81,13,15,78,5,192,50,10,0,0,3,63,1667,999,714,11822,247,15449,29,8,0,5,0,42,516,35,42,26,4,623,134,27,16,112,5,294,104,14,4,8,6,136,75,3,7,13,3,101,200,86,52,406,10,754,4194,629,499,1575,218,7115,366,111,112,3127,6502,10218,18164,7529,5454,110609,9434,151190,583,4126
LGA36950,17,94,47,1270,79,1507,0,0,0,66,0,66,10,7,7,46,5,75,0,0,0,4,0,4,4,4,0,4,0,12,78,48,20,316,35,497,5,0,7,8,0,20,11,0,0,6,0,17,9,7,3,36,3,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,16,7,9,126,0,158,5,6,0,19,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,0,0,0,9,10,0,0,3,0,13,0,0,0,6,0,6,0,0,0,0,0,0,4,0,0,29,0,33,27,8,8,89,9,141,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,101,60,23,796,45,1025,0,6,5,147,327,485,258,181,79,2274,469,3261,9,58
LGA36960,6,3,12,185,0,206,0,6,9,450,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,63,8,84,0,0,0,9,0,9,6,0,0,21,0,27,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,13,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,3,5,5,75,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,114,95,3271,18,3745,14,7,0,27,144,192,291,136,109,3551,168,4255,6,11
LGA37010,725,5735,4507,59876,1589,72432,3,31,17,1057,51,1159,982,92,116,852,32,2074,107,31,16,68,0,222,1008,368,233,737,28,2374,10017,5011,3798,44445,1435,64706,1258,41,300,41,39,1679,379,63,56,378,12,888,1511,683,462,6800,133,9589,376,162,79,567,20,1204,126,54,16,64,7,267,1130,39,39,64,20,1292,1940,1171,874,16148,354,20487,1425,909,334,4577,127,7372,214,3,0,3,7,227,35,16,3,42,0,96,17,10,0,9,3,39,131,99,51,273,7,561,682,118,112,92,23,1027,1056,379,305,126,26,1892,287,80,70,277,12,726,149,30,31,123,4,337,195,20,11,16,4,246,2612,1315,957,11505,236,16625,48,13,3,16,0,80,544,58,38,20,5,665,311,72,46,324,11,764,225,12,16,22,0,275,210,3,7,3,3,226,287,108,52,508,12,967,5549,1027,876,2967,298,10717,546,178,147,2777,10983,14631,28049,10947,8266,112721,14473,174456,952,6137
LGA37300,19,68,83,1204,41,1415,0,0,0,59,4,63,9,4,3,20,0,36,0,0,3,0,0,3,16,13,0,8,0,37,157,85,67,708,29,1046,31,0,10,0,0,41,5,0,0,9,0,14,21,3,8,124,5,161,0,0,0,4,0,4,4,0,0,6,0,10,7,0,0,3,0,10,38,15,17,237,0,307,6,7,0,56,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,13,0,28,23,3,0,7,0,33,17,4,11,0,0,32,3,0,5,11,0,19,5,0,0,0,0,5,5,0,0,0,0,5,33,21,19,176,3,252,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,110,22,3,118,0,253,18,4,0,97,347,466,433,169,140,2177,415,3334,20,121
LGA37310,69,590,496,12881,315,14351,0,0,0,100,7,107,49,0,11,72,0,132,12,3,0,4,0,19,124,48,43,113,6,334,901,586,489,9474,255,11705,205,0,20,4,9,238,16,4,0,62,0,82,134,85,85,2814,51,3169,10,7,4,28,0,49,19,3,0,0,0,22,58,3,0,4,0,65,210,121,99,3078,58,3566,35,29,11,161,6,242,3,0,0,0,0,3,5,0,3,11,0,19,0,0,4,0,0,4,16,12,0,16,5,49,66,24,8,18,5,121,90,31,35,16,0,172,17,7,8,35,5,72,10,0,3,12,0,25,5,0,0,3,3,11,215,150,141,2447,61,3014,0,3,0,0,0,3,106,4,10,0,0,120,16,0,3,30,0,49,0,0,0,0,0,0,10,0,0,0,0,10,30,14,6,54,0,104,350,75,48,310,13,796,51,24,27,864,2066,3032,2332,1168,930,24466,2700,31596,88,608
LGA37340,134,885,811,10052,267,12149,0,0,0,96,12,108,96,6,11,84,5,202,25,0,4,7,0,36,229,54,36,125,3,447,2226,800,634,7891,278,11829,213,11,24,3,7,258,97,14,8,37,4,160,289,85,82,1266,32,1754,26,7,3,27,3,66,30,9,0,4,4,47,24,0,3,4,0,31,407,140,117,2439,68,3171,228,74,38,483,10,833,161,0,0,0,8,169,8,0,0,10,0,18,0,4,0,0,0,4,29,17,21,44,3,114,164,28,24,15,10,241,225,70,56,11,13,375,50,3,15,49,3,120,28,0,4,22,0,54,15,0,0,0,0,15,527,231,166,2039,53,3016,7,0,0,0,0,7,112,10,10,5,0,137,66,6,5,53,4,134,15,0,3,0,0,18,25,0,4,0,0,29,81,25,13,100,4,223,725,129,121,606,27,1608,151,37,24,570,3217,3999,5293,1639,1400,19244,3844,31420,185,974
LGA37400,3,15,20,626,4,668,0,0,0,9,0,9,0,0,0,9,0,9,7,0,0,0,0,7,0,4,0,0,0,4,29,26,20,435,15,525,4,0,0,0,0,4,3,0,0,3,0,6,10,9,0,54,3,76,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,150,0,170,3,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,114,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,17,0,5,20,3,45,5,0,3,30,41,79,83,36,36,1117,65,1337,0,10
LGA37550,0,0,0,33,4,37,0,4,0,832,0,836,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,35,0,42,0,0,0,21,18,39,13,3,4,906,21,947,0,0
LGA37570,0,0,0,3,0,3,0,0,0,246,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,4,4,0,254,0,262,0,0
LGA37600,0,0,0,71,5,76,3,9,0,2244,0,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,33,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,93,0,99,0,0,0,18,11,29,15,12,7,2360,20,2414,0,0
LGA39499,65,338,261,3091,104,3859,3,4,0,71,0,78,138,0,5,24,4,171,18,5,0,4,0,27,149,29,13,33,0,224,1427,304,224,2434,110,4499,58,0,13,0,3,74,66,0,5,21,0,92,176,32,29,433,14,684,19,4,0,22,0,45,19,0,0,4,0,23,56,0,0,3,0,59,364,66,42,857,30,1359,89,19,8,98,6,220,20,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,20,7,0,10,0,37,117,15,12,0,4,148,207,24,18,12,4,265,39,11,5,12,0,67,21,4,0,6,0,31,30,0,0,0,0,30,346,74,70,679,14,1183,8,4,0,0,0,12,41,0,3,0,0,44,27,0,3,19,0,49,0,0,0,0,0,0,21,0,0,0,0,21,55,10,10,32,0,107,556,62,26,155,34,833,64,15,9,176,1715,1979,3480,623,449,6008,1982,12542,62,365
LGA39799,3,11,16,103,0,133,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,13,0,0,0,0,13,60,10,15,101,6,192,4,0,0,0,0,4,0,0,0,0,0,0,8,4,0,15,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,32,0,47,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,18,3,0,23,0,44,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,0,0,0,0,13,9,0,0,4,67,80,124,22,28,217,81,472,0,5
LGA40070,82,461,372,2700,48,3663,0,0,0,46,3,49,3166,13,23,26,28,3256,53,9,5,10,3,80,101,34,34,48,3,220,1439,501,409,2951,82,5382,143,0,13,0,4,160,73,20,10,27,0,130,235,103,64,742,8,1152,256,53,19,81,6,415,35,4,0,7,0,46,535,3,5,7,10,560,334,112,78,1107,19,1650,365,103,40,224,11,743,301,0,0,0,4,305,17,5,0,21,0,43,13,6,0,0,0,19,35,10,4,12,0,61,16,5,3,4,0,28,64,15,10,0,0,89,117,21,6,48,4,196,66,8,4,10,0,88,3,0,0,0,0,3,347,149,81,883,15,1475,33,9,0,0,0,42,54,8,0,0,0,62,68,3,4,3,0,78,100,3,0,0,0,103,126,0,0,3,0,129,55,6,10,36,0,107,1865,116,83,129,28,2221,80,7,13,77,2023,2200,9101,1084,793,6413,2246,19637,136,511
LGA40120,206,1765,1244,11555,235,15005,0,5,3,38,3,49,181,35,17,33,0,266,48,24,4,20,0,96,476,146,92,189,13,916,4489,1741,1315,9778,262,17585,48,0,7,3,0,58,84,23,18,91,4,220,803,312,213,2877,50,4255,128,30,16,121,0,295,107,30,12,14,3,166,66,12,9,5,0,92,574,275,169,2246,46,3310,641,240,67,565,17,1530,12,0,3,0,0,15,15,16,5,24,0,60,11,0,0,3,0,14,43,15,13,20,3,94,11,7,0,5,0,23,116,52,41,10,0,219,247,44,22,90,5,408,79,11,4,17,0,111,6,0,0,0,0,6,701,326,242,2358,50,3677,28,3,3,10,0,44,139,8,23,4,3,177,37,7,0,23,0,67,32,3,0,0,0,35,58,5,3,0,6,72,159,47,36,100,4,346,1060,279,155,380,31,1905,67,20,34,332,1157,1610,8826,3187,2257,22639,1719,38628,216,1726
LGA40150,47,312,244,2784,73,3460,0,6,0,17,0,23,10,0,0,3,0,13,14,4,0,5,0,23,95,25,26,39,0,185,895,272,274,2064,93,3598,38,3,6,0,0,47,15,0,0,21,0,36,74,44,38,380,14,550,70,4,3,38,8,123,18,0,0,0,0,18,10,3,6,5,0,24,78,44,19,426,14,581,178,61,25,164,9,437,0,0,0,0,0,0,6,5,0,5,0,16,0,0,0,0,0,0,24,18,10,29,0,81,8,0,0,0,0,8,20,14,4,4,0,42,21,7,6,17,0,51,4,3,0,3,0,10,0,0,0,0,0,0,161,60,37,352,11,621,13,0,0,5,0,18,11,0,0,0,0,11,11,3,4,5,0,23,0,0,0,0,0,0,36,0,0,0,4,40,28,10,9,6,3,56,148,32,16,49,9,254,31,4,4,140,291,470,1774,572,459,5054,487,8346,76,353
LGA40220,86,765,588,7920,204,9563,0,0,0,42,6,48,36,6,12,26,0,80,16,4,0,5,0,25,305,74,56,133,11,579,3015,889,707,6713,228,11552,57,0,12,0,0,69,33,15,0,61,3,112,342,124,90,1540,30,2126,45,12,11,23,0,91,51,3,5,10,0,69,35,4,5,3,0,47,334,125,92,1331,33,1915,126,53,17,178,3,377,5,0,4,0,0,9,11,0,0,5,0,16,3,0,0,0,0,3,12,15,0,9,0,36,17,16,0,5,4,42,37,20,7,7,0,71,66,11,13,30,0,120,27,0,6,5,0,38,0,0,4,0,0,4,472,183,141,1597,44,2437,10,0,0,8,0,18,26,6,3,0,0,35,12,0,0,12,5,29,5,0,3,3,0,11,3,0,0,0,0,3,91,20,9,69,4,193,355,99,60,210,14,738,47,27,18,272,640,1004,4856,1490,1135,15099,1118,23698,105,867
LGA40250,0,9,9,81,4,103,0,8,3,1993,21,2025,4,0,0,0,0,4,14,0,0,0,0,14,0,0,0,3,0,3,27,15,11,76,0,129,0,0,0,0,0,0,3,0,0,0,0,3,4,5,4,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,33,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,22,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,8,4,28,0,56,4,0,0,35,59,98,104,39,25,2196,81,2445,3,12
LGA40310,60,753,588,7368,133,8902,0,0,0,9,0,9,22,3,12,5,0,42,12,7,0,5,0,24,184,58,37,77,3,359,2119,721,639,5415,120,9014,19,0,5,0,7,31,32,10,0,52,0,94,374,205,116,4356,59,5110,33,9,6,13,0,61,26,8,5,3,0,42,12,5,0,3,0,20,256,101,54,1051,28,1490,136,63,42,175,6,422,11,0,3,0,0,14,7,0,3,6,0,16,0,0,0,0,0,0,12,11,3,16,0,42,14,0,4,7,0,25,57,23,18,9,0,107,44,13,9,61,0,127,11,5,4,17,0,37,0,0,0,0,0,0,353,162,105,1109,18,1747,8,0,7,0,0,15,23,6,3,0,0,32,16,0,0,10,0,26,3,0,4,0,0,7,4,8,4,4,0,20,58,20,6,46,5,135,303,92,62,169,15,641,33,7,10,312,548,910,3556,1377,1043,15334,864,22174,93,789
