LGA_CODE_2021,LGA_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
52450,Cunderdin,3,4,3,3,8,32,23,21,33,34,38,18,38,57,35,26,7,8,9,0,3,4,41,17,195,659
52520,Dalwallinu,3,5,0,6,7,11,18,23,26,30,33,28,20,64,42,26,20,9,15,8,10,7,37,13,161,611
52590,Dandaragan,13,29,13,23,54,99,54,115,92,97,98,67,82,130,66,78,37,18,40,19,6,6,137,45,1389,2805
52660,Dardanup,15,54,35,43,95,295,207,369,333,363,341,273,293,652,435,385,200,109,165,103,41,22,482,97,649,6053
52730,Denmark,5,35,43,73,94,227,147,207,204,222,176,109,113,177,144,104,48,25,57,28,25,9,234,66,1091,3670
52800,Derby-West Kimberley,7,35,26,81,73,175,89,169,188,195,218,161,158,256,117,143,59,31,80,34,34,18,180,167,897,3604
52870,Donnybrook-Balingup,9,35,38,24,53,189,103,191,170,180,178,107,103,212,150,120,68,31,74,33,27,8,202,52,453,2821
52940,Dowerin,0,0,0,7,5,35,10,25,23,33,23,14,16,31,15,7,0,0,4,0,4,0,26,15,127,422
53010,Dumbleyung,6,0,4,4,4,13,6,13,18,30,13,13,15,21,12,8,3,0,4,0,0,5,20,10,96,335
53080,Dundas,0,10,0,18,10,47,18,35,31,18,15,11,21,29,13,12,4,0,7,0,0,0,29,24,284,632
53150,East Fremantle,12,36,21,34,49,125,116,125,107,143,186,128,116,269,144,190,120,65,242,208,201,77,204,33,375,3327
53220,East Pilbara,3,27,6,21,34,40,29,83,103,112,136,131,132,294,150,205,122,61,177,83,72,24,141,96,1332,3625
53290,Esperance,25,62,45,93,138,352,230,305,301,377,358,265,278,586,326,305,137,72,148,87,54,46,497,172,1587,6844
53360,Exmouth,11,39,15,18,35,84,73,143,153,189,183,107,137,243,153,130,78,46,69,46,47,40,176,97,343,2662
53430,Fremantle,48,188,95,267,431,843,525,652,667,762,746,599,658,1341,738,884,525,330,900,500,426,167,912,267,2275,15751
53570,Gingin,12,38,24,37,60,156,91,157,153,131,154,100,137,202,117,83,46,21,49,29,16,12,233,89,1963,4107
53640,Gnowangerup,3,0,9,10,4,27,13,28,22,41,44,16,19,54,29,26,11,7,9,15,7,3,37,12,213,671
53710,Goomalling,0,5,0,5,17,38,22,35,31,25,29,20,23,32,17,13,7,7,11,5,3,0,35,13,134,527
53780,Gosnells,170,596,228,500,946,2221,1714,2561,2600,3157,3241,2634,2511,5122,3332,2657,1487,855,1139,822,479,100,3175,671,4192,47117
53800,Greater Geraldton,66,189,103,264,418,930,705,1003,937,966,983,792,763,1592,1002,900,507,240,424,225,160,64,1314,349,3109,18018
53920,Halls Creek,0,13,13,46,46,80,70,100,96,118,117,73,70,132,59,43,20,5,38,5,11,3,89,119,306,1674
53990,Harvey,41,113,56,100,216,583,376,629,557,650,652,495,565,1224,796,715,399,201,364,211,133,41,978,211,1579,11874
54060,Irwin,13,27,5,25,58,125,112,133,111,108,101,77,77,130,80,64,45,20,41,17,14,15,158,81,539,2163
54130,Jerramungup,6,13,4,11,14,15,25,22,25,39,45,24,30,47,21,29,0,5,13,8,5,3,38,16,442,913
54170,Joondalup,156,630,347,544,923,2371,1858,2703,2750,3353,3352,2738,2687,6023,4517,4593,3055,1768,3294,2629,1852,456,4591,766,4209,62177
54200,Kalamunda,72,259,151,225,397,1009,809,1140,1121,1445,1449,1107,1107,2424,1698,1498,957,485,841,611,429,132,1712,381,1893,23347
54280,Kalgoorlie-Boulder,35,102,57,159,148,335,244,313,379,461,501,559,584,1399,809,967,559,345,626,430,302,85,809,423,2623,13248
54310,Karratha,18,55,30,48,69,92,86,157,174,247,264,289,371,890,456,722,436,280,800,508,383,97,577,295,2737,10056
54340,Katanning,10,13,19,16,32,101,77,128,123,115,108,97,89,156,106,60,27,16,25,10,17,10,119,33,356,1843
54410,Kellerberrin,6,12,6,14,15,50,20,41,34,25,30,17,21,42,27,11,0,3,7,4,0,8,33,19,169,621
54480,Kent,0,4,0,0,0,5,5,14,11,20,18,6,14,23,14,15,4,0,4,0,0,3,16,7,86,266
54550,Kojonup,0,10,9,12,12,47,32,56,51,58,57,33,43,88,41,32,14,0,26,7,7,18,57,28,276,1037
54620,Kondinin,0,0,5,13,10,20,9,32,25,31,30,17,16,27,20,19,8,3,8,0,4,3,36,15,121,471
54690,Koorda,3,0,0,7,4,9,6,16,10,7,18,12,4,16,9,7,0,5,10,0,3,0,10,5,84,246
54760,Kulin,0,9,3,3,5,19,14,8,10,17,17,9,12,33,16,21,12,3,15,0,4,5,32,12,122,396
54830,Kwinana,58,136,73,184,344,753,619,801,914,1084,1151,1076,990,1958,1286,1030,586,290,361,225,135,32,1445,261,1836,17628
54900,Lake Grace,0,10,0,0,6,24,10,23,38,35,43,42,36,61,35,27,12,3,16,9,11,4,48,22,238,751
54970,Laverton,0,0,0,12,9,21,8,24,16,17,19,19,22,29,10,14,5,3,9,0,0,5,12,12,137,396
55040,Leonora,0,7,0,8,10,13,7,25,18,29,28,35,25,66,24,29,12,6,29,11,8,0,35,50,348,839
55110,Mandurah,165,566,256,556,1016,2754,2173,2985,2630,2616,2345,1605,1583,3229,1886,1765,974,484,1059,634,377,145,3194,804,8332,44140
55180,Manjimup,17,38,40,89,111,300,203,289,301,319,266,195,202,349,212,160,69,20,64,31,26,13,258,105,1362,5035
55250,Meekatharra,5,7,7,10,15,21,9,29,16,36,26,20,30,53,7,17,7,0,5,6,3,0,26,45,203,608
55320,Melville,104,570,332,496,748,1963,1474,1812,1871,2220,2226,1766,1739,3740,2455,2691,1738,1039,2638,1969,1737,651,2382,499,4067,42920
55390,Menzies,0,0,0,0,4,14,3,9,8,7,17,6,7,10,6,6,0,0,4,5,0,0,9,21,102,237
55460,Merredin,7,15,5,22,38,90,61,89,78,94,100,64,78,143,64,54,30,21,35,15,7,5,82,37,411,1636
55530,Mingenew,0,6,0,0,3,14,8,10,6,21,9,5,9,25,6,13,4,0,9,5,3,4,13,30,58,274
55600,Moora,8,13,3,17,15,66,41,64,55,64,57,50,45,89,60,57,22,14,12,11,4,9,72,34,283,1156
55670,Morawa,6,0,0,7,4,17,8,12,18,11,27,15,16,26,7,10,8,0,10,0,0,0,13,25,70,320
55740,Mosman Park,17,58,36,66,101,201,151,136,170,194,182,149,126,263,144,193,90,72,317,216,249,169,225,43,552,4122
55810,Mount Magnet,0,9,3,4,3,14,8,20,9,18,18,6,13,25,7,12,0,0,14,0,4,0,12,25,195,410
55880,Mount Marshall,0,5,3,0,5,15,5,6,9,14,19,10,13,19,11,11,5,4,10,0,4,0,20,3,128,315
55950,Mukinbudin,0,6,0,5,5,17,7,10,16,18,15,13,16,26,13,8,10,4,9,3,3,0,17,5,93,328
56090,Mundaring,34,162,72,184,245,721,476,739,689,845,848,605,695,1376,1006,982,588,326,622,451,315,97,1333,217,1333,14962
56160,Murchison,0,0,0,3,4,0,0,5,4,3,10,6,8,11,0,3,0,0,0,0,0,0,3,4,6,81
56230,Murray,36,80,53,98,189,481,358,579,437,451,400,298,294,615,417,370,189,116,208,113,84,25,728,169,1425,8192
56300,Nannup,5,9,7,21,23,44,31,70,59,51,57,31,36,56,32,16,10,4,15,0,0,3,43,25,361,1014
56370,Narembeen,5,5,4,0,8,10,11,19,18,23,32,18,19,39,15,18,9,0,9,4,5,5,23,4,111,402
56460,Narrogin,3,28,18,42,62,148,97,116,132,168,141,101,90,203,95,93,51,23,46,23,11,6,130,56,519,2409
56580,Nedlands,22,107,57,63,112,243,203,217,273,293,312,257,280,590,337,386,289,192,814,663,823,529,526,78,755,8407
56620,Ngaanyatjarraku,0,0,0,9,11,23,20,27,29,33,29,39,27,44,9,14,10,3,7,0,0,0,35,39,192,607
56730,Northam,18,42,27,74,121,342,230,319,278,308,298,243,191,417,240,198,103,45,96,59,35,16,346,113,1083,5237
56790,Northampton,13,36,8,25,44,143,75,175,139,134,140,88,64,157,95,78,45,22,37,16,17,9,99,76,648,2382
