SA3_CODE_2021,SA3_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
12002,Leichhardt,51,275,130,221,400,820,556,694,778,983,996,939,958,2235,1128,1514,1004,617,2520,1699,2294,1106,828,237,3492,26473
12003,Strathfield - Burwood - Ashfield,170,1358,394,654,1248,2331,1923,2610,2833,3686,4133,3390,3330,7457,4269,4202,2864,1705,3075,2311,2455,1005,2533,813,8655,69388
12101,Chatswood - Lane Cove,111,829,300,419,606,1236,1037,1266,1449,2002,2185,2064,2099,4938,2509,3039,1983,1218,4342,2888,3791,2101,1726,463,5368,49975
12102,Hornsby,63,423,189,325,468,1080,919,1211,1325,1694,1859,1595,1554,3618,2303,2565,1745,1093,2102,1683,1487,345,1157,309,2495,33601
12103,Ku-ring-gai,108,723,298,344,411,945,918,1282,1353,1836,1940,1645,1738,3798,2342,2786,1837,1204,4088,3500,4382,2227,1966,504,3839,45997
12104,North Sydney - Mosman,112,659,239,354,548,1046,1081,1194,1429,1982,2135,2106,2084,5173,2031,2987,1721,1006,5318,2430,3493,2009,1418,572,7823,50957
12201,Manly,42,189,97,126,179,369,360,440,507,619,650,564,689,1505,824,1114,662,441,1988,1336,1860,968,821,223,2437,19019
12202,Pittwater,95,271,136,193,263,784,601,894,834,1168,1184,971,993,2107,1468,1605,1119,726,1888,1564,1517,687,1101,341,2823,25326
12203,Warringah,130,630,337,466,783,1990,1649,2034,2182,2775,2945,2555,2563,5763,3873,3996,2811,1809,4275,3794,4018,1534,2298,784,4768,60768
12301,Camden,65,225,97,156,277,748,574,929,1009,1259,1304,1236,1243,3030,2504,2216,1467,864,1195,1000,684,185,955,308,1228,24765
12302,Campbelltown (NSW),229,804,272,705,1330,2999,2214,3312,3604,4167,4502,3714,3498,7248,4801,3629,2315,1368,1426,1087,768,240,2558,1043,5546,63410
12303,Wollondilly,61,171,78,97,225,660,442,747,731,897,963,741,794,1747,1305,1247,760,462,643,544,392,132,783,292,1332,16243
12401,Blue Mountains,99,344,209,371,598,1864,1398,1742,1822,2227,2246,1632,1641,3410,2236,2084,1321,787,1412,901,691,177,1153,414,4265,35041
12402,Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
12403,Penrith,186,647,244,495,1013,2369,1861,2661,2947,3487,3886,3304,3281,7068,4976,4253,2776,1561,1986,1562,1076,306,2255,865,5394,60465
12404,Richmond - Windsor,72,158,84,161,262,790,556,754,746,852,949,736,816,1549,1149,873,589,273,384,301,210,82,587,255,1309,14483
12405,St Marys,104,265,94,207,386,865,640,1027,1127,1447,1488,1251,1152,2426,1595,1230,780,441,416,350,198,46,858,362,2078,20813
12501,Auburn,153,896,199,393,761,1301,998,1696,1846,2488,2665,2215,2099,4451,2569,2145,1377,888,1224,831,591,179,1656,546,5754,39920
12502,Carlingford,82,482,176,341,621,1147,719,1142,1162,1529,1692,1353,1305,2916,1901,1736,1233,724,1185,895,850,238,1089,362,2911,27798
12503,Merrylands - Guildford,363,1162,331,858,1558,2961,1956,3262,3082,3635,3679,2888,2597,5136,3376,2696,1767,1095,1288,1027,712,216,2329,1209,7869,57062
12504,Parramatta,206,846,300,615,1129,2193,1628,2225,2587,3285,3615,3187,3157,7384,4438,4352,2785,1592,2690,1749,1345,329,2008,810,8820,63283
12601,Pennant Hills - Epping,35,326,132,157,245,542,499,636,750,962,1040,925,902,2059,1336,1404,1042,590,1388,1155,1318,420,781,210,1738,20579
12602,Ryde - Hunters Hill,198,1259,419,680,1070,2072,1660,2258,2499,3262,3545,2914,2844,6709,3801,3830,2652,1531,3398,2499,2673,1109,2044,739,7145,62824
12701,Bringelly - Green Valley,180,641,180,359,674,1462,1018,1939,1919,2457,2647,2255,2375,5217,4026,3300,2330,1405,1512,1293,898,252,1869,664,3557,44450
12702,Fairfield,406,1566,390,864,1751,3483,2284,4496,4165,4545,4457,3269,3097,5466,3862,2951,1916,1188,1220,1179,788,258,2501,1154,5733,63008
12703,Liverpool,209,718,231,543,1069,2025,1448,2394,2588,2963,3110,2549,2437,4991,3480,2835,1821,1140,1340,1118,800,191,1810,874,5734,48450
12801,Cronulla - Miranda - Caringbah,145,606,321,430,713,1939,1453,1906,2060,2590,2646,2217,2217,4825,3102,3261,2238,1342,2661,2271,2269,862,1836,609,4828,49354
12802,Sutherland - Menai - Heathcote,114,411,227,324,552,1589,1014,1513,1583,2008,2244,1704,1810,4251,3220,3360,2533,1575,2441,2183,1779,478,1559,453,2494,41419
19797,Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34
20101,Ballarat,176,452,263,549,1160,3228,2532,3183,3356,3753,3705,2789,2635,4827,3078,2494,1403,709,1148,756,542,222,1905,954,5212,51038
20102,Creswick - Daylesford - Ballan,59,160,99,177,324,985,529,859,808,933,903,724,692,1271,803,607,361,182,396,237,183,71,582,313,3574,15830
20103,Maryborough - Pyrenees,61,139,99,224,433,1270,685,1080,939,922,840,535,564,884,506,326,159,75,152,73,37,31,494,454,2517,13516
20201,Bendigo,131,386,254,507,1033,2776,2190,2900,3038,3327,3232,2423,2326,4516,2805,2235,1206,634,841,545,388,132,1682,851,4664,45028
20202,Heathcote - Castlemaine - Kyneton,91,254,179,283,481,1536,948,1424,1385,1461,1478,1155,1077,2099,1334,1128,727,319,696,450,349,138,1008,471,3826,24299
20203,Loddon - Elmore,26,72,40,91,161,468,213,428,401,382,384,267,267,420,269,167,82,36,79,39,21,15,233,161,1495,6207
20301,Barwon - West,29,78,46,58,110,268,266,381,425,479,540,426,417,952,694,596,328,189,283,187,116,67,454,146,957,8481
20302,Geelong,275,948,509,1021,1955,5287,4104,5151,5382,6002,6022,4732,4428,9174,5876,5073,3009,1636,2539,1742,1222,409,3417,1714,8874,90492
20303,Surf Coast - Bellarine Peninsula,151,458,264,357,597,1851,1564,2209,2121,2592,2556,1898,1845,3876,2751,2480,1529,805,1630,995,866,380,1723,692,14992,51172
20401,Upper Goulburn Valley,138,341,211,321,665,1833,1211,1846,1721,1975,1780,1364,1326,2442,1415,1101,598,287,560,308,255,166,1286,822,7503,31497
